id,file_no,category,created_at,updated_at
744,MSB/CB/C-175(B),Mizoram Secondary School Teacher (MISSTA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
745,MSB/CB/C-177,Fixed Pay Teachers Association,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
746,MSB/CB/C-178,ICDS Circle Officers Association/Mizoram Economic and Statistics Service Assn.,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
747,MSB/CB/C-179,MLA  Election 2003,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
748,MSB/CB/C-180,Pre Service Teachers Welfare Committee Assn. (PRESTA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
749,MSB/CB/C-184,All India Postal Union,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
750,MSB/CB/C-185,Mizoram Education Inspecting Officers Assn.(MEOSA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
751,MSB/CB/C-186,Mizoram Govt. Aided High School Teachers Assn.(MIGAHTA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
752,MSB/CB/C-187,Land Revenue & Settlement,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
753,MSB/CB/C-190,Women Polytechnic,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
754,MSB/CB/C-195,Mizoram State Co-operative Union(MSCU)/Co-operative Deptt. Staff Welfare Organisation(CDSWO),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
755,MSB/CB/C-197,Mizoram Taxi Owner Association,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
756,MSB/CB/C-198,Society of Social Action (SOSA-correspondence),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
757,MSB/CB/C-200,Mizoram Taxi Driver Association/Auto Rickshaw,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
758,MSB/CB/C-200(B),Two Wheeler Taxi,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
759,MSB/CB/C-204,Former Underground Welfare Society,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
760,MSB/CB/C-205,Mizoram BAR Association/MJSA,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
761,MSB/CB/C-206,Chhimphei MZP,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
762,MSB/CB/C-210,Right to Information Act (RTI),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
763,MSB/CB/C-211,Mizoram Peoples Forum(MPF),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
764,MSB/CB/C-212,Demand Committee Saitual,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
765,MSB/CB/C-218,Former Legislator Association of Mizoram(FLAM),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
766,MSB/CB/C-221,PHE Department,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
767,MSB/CB/C-222,Science Teachers Association (STA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
768,MSB/CB/C-224(B),Mizoram Poor Federation(MIPF),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
769,MSB/CB/C-225,Peoples Right to Information Development Implementing Society of Mizoram (PRISM),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
770,MSB/CB/C-226,Mizoram Secretariat Service Association (MSSA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
771,MSB/CB/C-229,Illegal Traders,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
772,MSB/CB/C-230,POL Carrying Contractors(POL/LPG/IOCL),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
773,MSB/CB/C-231,District Headquarters Demand Committee,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
774,MSB/CB/C-231(A),Tlabung District Demand,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
775,MSB/CB/C-232,Mizo Youth Service Corps (MYSC),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
776,MSB/CB/C-246,Mizo National Army(MNA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
777,MSB/CB/C-258,Mizo Thalai Pawl(MTP),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
778,MSB/CB/C-259,Mizo Labour Union,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
779,MSB/CB/C-260,Mipui Tangrual Pawl,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
780,MSB/CB/C-264,Mizoram Underground Returnee Association(MURA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
781,MSB/CB/C-268,Mizoram New Pension Scheme Subscriber Assn.(MNPSA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
782,MSB/CB/C-271,Mizoram Bru People Convention,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
783,MSB/CB/C-273,JC Security Guard & Labour Agency,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
784,MSB/CB/C-275,Federation of Govt.School Teacher Association (FMGST)/SSA/SEWC,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
785,MSB/CB/C-278,Mizoram Bru Co-ordination Committee/JAC Against Bru C-90,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
786,MSB/CB/C-279,Mizoram Govt. Drivers Association(MGDA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
787,MSB/CB/C-280,Aizawl Municipal Steering Committee and Assessment,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
788,MSB/CB/C-283,Vigilance Committee,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
789,MSB/CB/C-285(A),Mizoram Truck Owner/Driver/MTOA/MTDA,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
790,MSB/CB/C-286,Mizoram Higher Technical Service,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
791,MSB/CB/C-290,Mizoram Chemists & Druggists Association,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
792,MSB/CB/C-292,Zoramthar Forum/Zo Indegeneous Forum,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
793,MSB/CB/C-293,Mizoram Iron Scraps Marketing,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
794,MSB/CB/C-294,Mizoram State Commission for women,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
795,MSB/CB/C-295,Ethic Committee of Mizoram,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
796,MSB/CB/C-297,Zoram Decentralization Front/AAP/UDF/TMC/ZRF,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
797,MSB/CB/B-159(A),Govt servant involved into business,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
798,MSB/CB/A-5(A),ROHINGYA,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
799,MSB/CB/A-5(R),MYANMAR REFUGEE,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
800,MSB/CB/B-18(A),TABLIGI JAMATH,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
801,MSB/CB/A-20(A),BOMB BLAST,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
802,MSB/CB/C-121,NATIONAL PEOPLE PARTY,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
803,MSB/CB/B-26(B),HPCD LALHMINGTHANGA SANATE FACTION,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
804,MSB/CB/B-69(A),SPECIAL REPORT OF ALL  DISTRICTS,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
805,MSB/CB/C-51(A),AIZAWL CITY COLLEGE JOINT STUDENT UNION,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
806,MSB/CB/D-68,BUNGTLANG P/S,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
807,MSB/CB/C-297,POLITICAL PARTY MISC,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
808,C-193,LAND DISPUTE,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
809,MSB/CB/B-26,Hmar People Convention,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
810,MSB/CB/B-26,Hmar People Convention (HPC),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
811,MSB/CB/C-106,LC/VC,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
812,C-223,Mizoram Maxi cab Owner Association (MNCOA),2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
813,A-3,Sinlung Hills Development Council SHDC,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
814,MSB/CB/A-5(A),Rohingya Muslim,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
815,MSB/CB/D-9(LUNGLEI),LUNGLEI,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
816,MSB/CB/D-61,ZOKHAWTHAR,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
817,MSB/CB/B-18(A),TABLIGHI JAMAAT,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
818,MSB/CB/A-62(B),Mara Peoples Army,2025-08-18 01:44:36.827+05:30,2025-08-18 01:44:36.827+05:30
819,MSB/CB/B-160,INTERROGATION STATEMENT,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
820,MSB/CB/C-202,Chin Welfare Association,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
821,MSB/CB/Covid-19/2020,COVID 19,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
822,MSB/CB/D-2,LENGPUI AIRPORT,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
823,MSB/CB/53,UNION WAR BOOK,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
824,MSB/CB/A-5(A),Rohingya Muslim (Myanmar),2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
825,MSB/CB/A-5(R),Refugee Myanmar,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
826,MSB/CB/B-5/NLFT,National LiberationFront of Tripura NLFT,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
827,MSB/CB/B-5/NLFT,National LiberationFront of Tripura NLFT,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
828,MSB/CB/B-14(B) KCNA/KNA,KCNA/KNA Bangladesh,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
829,MSB/CB/A-56,Arakan Army,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
830,MSB/CB/A-56,Arakan Army,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
831,MSB/CB/A-90 (A),Quarterly return,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
832,MSB/CB/SR,Special Report,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
833,MSB/CB/SR,Special Report,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
834,MSB/CB/SR/,Special Report,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
835,A-20,Explosive recoveries / Bomb Explosion,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
836,MSB/CB/A-97(A),Monthly Return on Law & Order,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
837,MSB /CB/C-51 (A),ACCJSU (Aizawl City Collage Joint Student Union),2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
838,MSB/CB/C-81,Young Mans Christian Association,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
839,MSB/CB/C-106,Mizoram Upa PAwl (MUP),2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
840,MSB/CB/C-115(B),Peoples Conference Party PCP,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
841,MSB/CB/C-216,Mizoram Cement & Iron Rod Dealer Association,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
842,MSB/CB/C-239,Aizawl City Bus Owner Association,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
843,MSB/CB/Covid 2019,Covid 2019,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
844,MSB/CB/D-58,MAP,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
845,MSB/CB/A-16,Regional Security C0-ordination,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
846,MSB/CB/A-118,Bru Repatriation,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
847,MSB/CB/C-298,Write -Up File,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
848,MSB/CB/B-160,Interrogation Statement,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
849,MSB/CB/C-300,Entry/ Exit Point,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
850,MSB/CB-53,Union War Book,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
851,MSB/CB-14(b),KNA (Bangladesh),2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
852,MSB/CB/C-303,FIP & PAR,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
853,MSB/CB/B-15,Insurgency in North East India,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
854,MSB/CB/X,Write Up,2025-08-18 01:44:36.832+05:30,2025-08-18 01:44:36.832+05:30
